-0.00212044,-0.170421,
0.0567430,-0.176031,
0.106107,-0.194390,
0.148346,-0.219890,
0.187023,-0.253549,
0.216539,-0.292308,
0.241985,-0.337187,
0.257252,-0.387165,
0.260814,-0.438674,
0.256234,-0.493243,
0.241476,-0.532512,
0.221120,-0.563621,
0.195674,-0.588610,
0.165649,-0.607480,
0.126463,-0.621759,
0.0826972,-0.627369,
-0.000254453,-0.629409,
-0.0674300,-0.628899,
-0.115776,-0.621759,
-0.156997,-0.610540,
-0.197710,-0.587590,
-0.228244,-0.554441,
-0.249109,-0.516192,
-0.260305,-0.467233,
-0.261832,-0.410625,
-0.249109,-0.356056,
-0.227735,-0.309137,
-0.203817,-0.271398,
-0.174300,-0.240289,
-0.138168,-0.211730,
-0.101018,-0.191330,
-0.0664122,-0.179601,
-0.0328244,-0.170421,
