-0.00502283,-0.147649,
0.0223744,-0.147649,
0.0531963,-0.152442,
0.0840183,-0.161342,
0.117580,-0.174350,
0.149087,-0.194204,
0.176484,-0.214742,
0.201826,-0.242127,
0.223059,-0.270881,
0.243607,-0.303743,
0.255936,-0.335920,
0.266895,-0.372889,
0.268950,-0.407805,
0.268950,-0.442720,
0.263470,-0.478320,
0.249772,-0.515290,
0.231279,-0.544044,
0.210046,-0.563898,
0.188813,-0.578275,
0.151142,-0.587175,
0.114840,-0.588544,
0.0710046,-0.580329,
0.0408676,-0.578959,
0.00114155,-0.575536,
-0.0385845,-0.581013,
-0.0824201,-0.587175,
-0.122831,-0.591283,
-0.167352,-0.585806,
-0.206393,-0.568006,
-0.239269,-0.532405,
-0.259132,-0.492013,
-0.270776,-0.437243,
-0.268037,-0.390689,
-0.253653,-0.328389,
-0.226941,-0.275673,
-0.197489,-0.233227,
-0.163242,-0.203788,
-0.126256,-0.180511,
-0.0961187,-0.164765,
-0.0577626,-0.151757,
-0.0296804,-0.147649,
